Artist;Top Track;Popularity;Genre;Image-URL-L
Thad Kopec;One Last Wedding;18;Indie;https://i.scdn.co/image/ab67616d0000b27316f5a7835a021ffe5e5992a3
Thad Kopec;Bereft of the Myth;18;Indie;https://f4.bcbits.com/img/a4209830442_10.jpg
Thad Kopec;Nature of Belonging;18;Indie;https://i.scdn.co/image/ab67616d0000b2731932f47d507e88b8995ecf75
Thad Kopec;I Will Listen;18;Indie;https://i.scdn.co/image/ab67616d0000b2731932f47d507e88b8995ecf75
Thad Kopec;Sitting Sill (feat. Liza Anne);18;Indie;https://cdn.musicbed.com/image/upload/c_fill,dpr_auto,f_auto,g_auto,q_auto,w_400,h_400/v1513265409/production/albums/3669
Songs Of Water;The Sea Has Spoken;24;Indie;https://cdn.musicbed.com/image/upload/c_fill,dpr_auto,f_auto,g_auto,q_auto,w_400,h_400/v1/production/albums/444
Songs Of Water;Everything That Rises;24;Indie;https://cdn.musicbed.com/image/upload/c_fill,dpr_auto,f_auto,g_auto,q_auto,w_400,h_400/v1/production/albums/444
Songs Of Water;11 Miles;24;Indie;https://i.scdn.co/image/ab67616d0000b273b76413ee923f577a00484ff0
Songs Of Water;Horizons;24;Indie;https://cdn.musicbed.com/image/upload/c_fill,dpr_auto,f_auto,g_auto,q_auto:best,h_400,w_400/v1526920096/production/albums/3974
Songs Of Water;Golden Summer;24;Indie;https://i.scdn.co/image/ab67616d0000b273b76413ee923f577a00484ff0
Optiganally Yours;Night Shop;12;Indie;https://i1.sndcdn.com/artworks-8N8cqbv1Cx8X-0-t500x500.jpg
Optiganally Yours;Gepetto;12;Indie;https://i.scdn.co/image/ab67616d0000b2730ee26e9d3b9783382a6fc0b6
Optiganally Yours;Whomever Watches You Sleep;12;Indie;https://i1.sndcdn.com/artworks-8N8cqbv1Cx8X-0-t500x500.jpg
Optiganally Yours;How Do You Feel?;12;Indie;https://i1.sndcdn.com/artworks-8N8cqbv1Cx8X-0-t500x500.jpg
Optiganally Yours;Hope in Your Eyes;12;Indie;https://i1.sndcdn.com/artworks-8N8cqbv1Cx8X-0-t500x500.jpg
Moonface;Minotaur Forgiving Knossos;21;Indie;https://f4.bcbits.com/img/a3775302856_10.jpg
Moonface;Teary Eyes And Bloody Lips;21;Indie;https://i.scdn.co/image/ab67616d0000b273b3d6403fe706540a59e20d55
Moonface;Barbarian;21;Indie;https://images.genius.com/28cc9f0b90650fdca69c943e8a8df67c.550x550x1.jpg
Moonface;Minotaur Forgiving Minos;21;Indie;https://f4.bcbits.com/img/a3775302856_10.jpg
Moonface;Minotaur Forgiving Theseus;21;Indie;https://f4.bcbits.com/img/a3775302856_10.jpg
Bunny Lowe;Seventeen;14;Indie;https://images.genius.com/5f94e420892bbe0167116d001e737322.1000x1000x1.png
Bunny Lowe;Nicoteen;14;Indie;https://i.scdn.co/image/ab67616d00001e025c3f0856d14b247eb0faf4df
Bunny Lowe;Strawberry;14;Indie;https://i.scdn.co/image/ab67616d00001e025c3f0856d14b247eb0faf4df
Bunny Lowe;Blood In My Nikes;14;Indie;https://i.scdn.co/image/ab67616d00001e0216bbbb6cb75d977a96f59389
Bunny Lowe;Wow.;14;Indie;https://i.scdn.co/image/ab67616d00001e02b6ed56133ad5a3a4d06aa877
Azeda Booth;Be It;6;Indie;https://f4.bcbits.com/img/a1854805595_10.jpg
Azeda Booth;Ran;6;Indie;https://f4.bcbits.com/img/a1854805595_10.jpg
Azeda Booth;In Red;6;Indie;https://f4.bcbits.com/img/a1854805595_10.jpg
Azeda Booth;Big Fists;6;Indie;https://f4.bcbits.com/img/a1854805595_10.jpg
Azeda Booth;Numberguts;6;Indie;https://f4.bcbits.com/img/a1854805595_10.jpg
Go Cactus;No Money;7;Indie;https://cdns-images.dzcdn.net/images/cover/b5b8f6d57849ecd8863eaaa730835d6b/264x264.jpg
Go Cactus;Space Monkey;7;Indie;https://f4.bcbits.com/img/a1510430627_10.jpg
Go Cactus;On Time;7;Indie;https://cdns-images.dzcdn.net/images/cover/b5b8f6d57849ecd8863eaaa730835d6b/264x264.jpg
Go Cactus;Hippie Jump;7;Indie;https://i.scdn.co/image/ab67616d0000b27301ce454f178d1a64891f3c42
Go Cactus;Something in Your Drink;7;Indie;https://f4.bcbits.com/img/a2553132559_65
Oceanator;I Would Find You;24;Indie;https://images.genius.com/eb480146fe44fb1c464b48ce3b4d0250.1000x1000x1.jpg
Oceanator;Stuck;24;Indie;https://i1.sndcdn.com/artworks-55LOFodZ0cak-0-t500x500.jpg
Oceanator;Bad Brain Daze;24;Indie;https://i1.sndcdn.com/artworks-55LOFodZ0cak-0-t500x500.jpg
Oceanator;Heartbeat;24;Indie;https://images.genius.com/eb480146fe44fb1c464b48ce3b4d0250.1000x1000x1.jpg
