Artist;Top Track;Popularity;Genre;;,
Thad Kopec;One Last Wedding;18;Indie;;,
Thad Kopec;Bereft of the Myth;18;Indie;;,
Thad Kopec;Nature of Belonging;18;Indie;;,
Thad Kopec;I Will Listen;18;Indie;;,
Thad Kopec;Sitting Sill (feat. Liza Anne);18;Indie;;,
Songs Of Water;The Sea Has Spoken;24;Indie;;,
Songs Of Water;Everything That Rises;24;Indie;;,
Songs Of Water;11 Miles;24;Indie;;,
Songs Of Water;Horizons;24;Indie;;,
Songs Of Water;Golden Summer;24;Indie;;,
Optiganally Yours;Night Shop;12;Indie;;,
Optiganally Yours;Gepetto;12;Indie;;,
Optiganally Yours;Whomever Watches You Sleep;12;Indie;;,
Optiganally Yours;How Do You Feel?;12;Indie;;,
Optiganally Yours;Hope in Your Eyes;12;Indie;;,
Moonface;Minotaur Forgiving Knossos;21;Indie;;,
Moonface;Teary Eyes And Bloody Lips;21;Indie;;,
Moonface;Barbarian;21;Indie;;,
Moonface;Minotaur Forgiving Minos;21;Indie;;,
Moonface;Minotaur Forgiving Theseus;21;Indie;;,
Bunny Lowe;Seventeen;14;Indie;;,
Bunny Lowe;Nicoteen;14;Indie;;,
Bunny Lowe;Strawberry;14;Indie;;,
Bunny Lowe;Blood In My Nikes;14;Indie;;,
Bunny Lowe;Wow.;14;Indie;;,
Azeda Booth;Be It;6;Indie;;,
Azeda Booth;Ran;6;Indie;;,
Azeda Booth;In Red;6;Indie;;,
Azeda Booth;Big Fists;6;Indie;;,
Azeda Booth;Numberguts;6;Indie;;,
Go Cactus;No Money;7;Indie;;,
Go Cactus;Space Monkey;7;Indie;;,
Go Cactus;On Time;7;Indie;;,
Go Cactus;Hippie Jump;7;Indie;;,
Go Cactus;Something in Your Drink;7;Indie;;,
Oceanator;I Would Find You;24;Indie;;,
Oceanator;Stuck;24;Indie;;,
Oceanator;Bad Brain Daze;24;Indie;;,
Oceanator;Heartbeat;24;Indie;;,
Oceanator;The Last Summer;24;Indie;;,
Crisman;Cya;29;Indie;;,
Crisman;Portrait;29;Indie;;,
Crisman;Ocean;29;Indie;;,
Crisman;Surprise;29;Indie;;,
Crisman;Rain;29;Indie;;,
Gabby's World;The Thunder Answered Back;30;Indie;;,
Gabby's World;Alone at the Party;30;Indie;;,
Gabby's World;Broken Necks;30;Indie;;,
Gabby's World;Corrina;30;Indie;;,
Gabby's World;I Admit That I'm Scared;30;Indie;;,
Foster The People;Pumped Up Kicks;73;Indie;;,
Foster The People;Imagination;73;Indie;;,
Foster The People;Sit Next to Me;73;Indie;;,
Foster The People;Houdini;73;Indie;;,
Foster The People;Helena Beat;73;Indie;;,
The Whitest Boy Alive;Burning;56;Indie;;,
The Whitest Boy Alive;1517;56;Indie;;,
The Whitest Boy Alive;Golden Cage;56;Indie;;,
The Whitest Boy Alive;Inflation;56;Indie;;,
The Whitest Boy Alive;Fireworks;56;Indie;;,
Arcade Fire;The Suburbs;68;Indie;;,
Arcade Fire;Wake Up;68;Indie;;,
Arcade Fire;Rebellion (Lies);68;Indie;;,
Arcade Fire;Everything Now;68;Indie;;,
Arcade Fire;Song on the Beach;68;Indie;;,
Mac DeMarco;Heart To Heart;83;Indie;;,
Mac DeMarco;Chamber Of Reflection;83;Indie;;,
Mac DeMarco;For the First Time;83;Indie;;,
Mac DeMarco;My Kind of Woman;83;Indie;;,
Mac DeMarco;Freaking Out the Neighborhood;83;Indie;;,
Tame Impala;The Less I Know The Better;83;Indie;;,
Tame Impala;Borderline;83;Indie;;,
Tame Impala;New Gold (feat. Tame Impala and Bootie Brown);83;Indie;;,
Tame Impala;New Person, Same Old Mistakes;83;Indie;;
Tame Impala;Eventually;83;Indie;;,
Foals;My Number;66;Indie;;,
Foals;Mountain at My Gates;66;Indie;;,
Foals;2am;66;Indie;;,
Foals;Late Night - Solomun Remix;66;Indie;;,
Foals;Spanish Sahara;66;Indie;;,
Wet Leg;Wet Dream;66;Indie;;,
Wet Leg;Chaise Longue;66;Indie;;,
